机构注册资金,机构地址,机构名称,机构批准机关,评估机构代码,机构批准文号,机构法人代表_首席合伙人_,证照类型名称,批准日期
30.0,杭州余杭区临平邱山大街235号,杭州恒辰资产评估有限公司,浙江省财政厅,33080009,浙财会字[2008]33号,陈武寅,资产评估执业证书,2008-05-20
50.0,温州市车站大道高联大厦21层东首,温州得正资产评估有限公司,浙江省财政厅,33160001,浙财企【2015】181号,陈文平,资产评估执业证书,2015-12-17
200.0,杭州市文二路391号西湖国际科技大厦A座907室,浙江中达德诚资产评估有限公司,浙江省财政厅,33080038,浙财会字[2008]102号,徐向阳,资产评估执业证书,2008-09-09
30.0,杭州市古翠路76号怡泰科技大厦1006室,杭州诚意资产评估有限公司,浙江省财政厅,33080007,浙财会字[2008]31号,董小莺,资产评估执业证书,2008-04-28
280.0,杭州江干区钱江新城丹桂街19号迪凯国际35楼A座,浙江信林资产评估事务所,浙江省财政厅,33070001,浙财会字[2007]14号,全琪敏,资产评估执业证书,2007-02-15
80.0,杭州市天目山路7号,浙江之江资产评估有限公司,浙江省国有资产管理局,33020002,国资评（2000）141号,徐旭伟,资产评估执业证书,2000-03-22
100.0,淳安县千岛湖镇新安大街104号,杭州辰光资产评估事务所,浙江省财政厅,33090002,浙财会字[2009]6号,梁健,资产评估执业证书,2009-01-20
30.0,诸暨市浣纱北路32号,诸暨天宇资产评估有限公司,浙江省国有资产管理局,33020143,浙国资评[1999]86号,戴立中,资产评估执业证书,1999-12-29
0.0,杭州市丰潭路258号1幢三层301室,北京北方亚事资产评估有限责任公司浙江分公司,浙江省财政厅,11020080-331301,浙财会[2012]46号,朱瑞忠,资产评估执业证书,2012-12-11
30.0,丽水市中山街471号,丽水处州资产评估有限公司,浙江省国有资产管理局,33020085,浙国资评（2000）96号,朱佳,资产评估执业证书,2000-02-21
30.0,德清县武康镇武源街269号（兴隆大厦）12楼,湖州德信资产评估事务所,浙江省财政厅,33080037,浙财会字[2008]84号,薛敏敬,资产评估执业证书,2008-07-28
,浙江省永康市总部中心金州大厦5楼508室,浙江中联耀信资产评估有限公司永康分公司,浙江省财政厅,33040015-331401,浙财企【2014】9号,吕文彩,资产评估执业证书,2014-01-16
50.0,磐安县海螺街17号,金华公众资产评估事务所,浙江省财政厅,33080019,浙财会字[2008]74号,陈新龙,资产评估执业证书,2008-07-07
50.0,浙江省金华市婺城区双溪西路235号中加楼3楼AB室,金华弘信资产评估有限公司,浙江省财政厅,33150001,浙财企[2014]232号,徐小龙,资产评估执业证书,2014-12-17
1000.0,杭州市教工路18号世贸丽晶城A座欧美中心C区1105室,坤元资产评估有限公司,浙江省国有资产管理局,33020001,浙国资评（2000）123号,俞华开,资产评估执业证书,2000-02-28
60.0,杭州市莫干山路110号六楼,浙江中瑞江南资产评估有限公司,浙江省国有资产管理局,33020027,浙国资评（2000）124号,曹奕,资产评估执业证书,2000-02-18
30.0,杭州市余杭区东湖路3号,杭州天辰资产评估有限公司,浙江省国有资产管理局,33020020,浙国资评（2000）38号,陈敏健,资产评估执业证书,2000-01-19
30.0,瑞安市安阳街道安福路公用事业气象局综合楼,瑞安瑞阳资产评估有限公司,浙江省国有资产管理局,33020075,浙国资评（2000）43号,杨爱华,资产评估执业证书,2000-01-19
100.0,绍兴市城南翠苑新村写字楼7幢410-3室,绍兴天阳资产评估有限公司,浙江省财政厅,33080008,浙财会字[2008]38号,虞招君,资产评估执业证书,2008-05-20
10.0,杭州市江干区秋涛北路223号同方国际大厦917室,杭州扬衡资产评估事务所（普通合伙）,浙江省财政厅,33140001,浙财企[2014]3号,傅晓东,资产评估执业证书,2014-01-06
,杭州市下城区环城北路141号西楼1802室,上海东洲资产评估有限公司杭州分公司,浙江省财政厅,31020001-331601,浙财企〔2016〕89号,雍春梅,资产评估执业证书,2016-08-10
30.0,德清县武康镇永安街272号,湖州天勤资产评估有限公司,浙江省财政厅,33070002,浙财会字[2007]19号,沈海鹰,资产评估执业证书,2007-03-07
