Academic Year,Institution (English),Institution (Chinese),Level of study (English),Level of study (Chinese),Programme type (English),Programme type (Chinese),Programme name (English),Programme name (Chinese),Areas of Study,Areas of Study (Chinese),Normal programme duration
2023/24,Tung Wah College,東華學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Health Science (Honours) in Nursing,護理學(榮譽)健康科學學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,5
2023/24,Tung Wah College,東華學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Management (Honours) in Social and Business Sustainability,社商企業持續發展(榮譽)管理學學士,Business and Management,商業及管理,4
2023/24,Tung Wah College,東華學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Applied Gerontology,應用老年學(榮譽)理學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,4
2023/24,Tung Wah College,東華學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Biomedical Science,生物醫學(榮譽)理學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,4
2023/24,Tung Wah College,東華學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Forensic Biomedical Science,法證生物醫學(榮譽)理學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,4
2023/24,Tung Wah College,東華學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Medical Laboratory Science,醫療化驗科學(榮譽)理學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,4
2023/24,Tung Wah College,東華學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Occupational Therapy,職業治療學(榮譽)理學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,4
2023/24,Tung Wah College,東華學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Physiotherapy,物理治療學(榮譽)理學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,4
2023/24,Tung Wah College,東華學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Radiation Therapy,放射治療學(榮譽)理學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,4
2023/24,Tung Wah College,東華學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Science (Honours) in Applied Psychology,應用心理學(榮譽)社會科學學士,Social Sciences,社會科學,4
2023/24,Tung Wah College,東華學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Early Childhood Education,幼兒教育高級文憑,Education,教育,2
2023/24,Tung Wah College,東華學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Health Science,健康科學高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Tung Wah College,東華學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Nursing,護理學高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Tung Wah College,東華學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Psychology,心理學高級文憑,Social Sciences,社會科學,2
2023/24,Tung Wah College,東華學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Education (Honours) in Early Childhood Education - Year 3 entry,幼兒教育(榮譽)教育學士 - 三年級入學,Education,教育,2
2023/24,Tung Wah College,東華學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Health Information and Services Management (Honours) - Year 3 entry,醫療資訊及服務管理(榮譽)學士 - 三年級入學,Business and Management,商業及管理,2
2023/24,Tung Wah College,東華學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Health Science (Honours) in Nursing - Year 3 entry,護理學(榮譽)健康科學學士 - 三年級入學,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,3
2023/24,Tung Wah College,東華學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Management (Honours) in Social and Business Sustainability - Year 3 entry,社商企業持續發展(榮譽)管理學學士 - 三年級入學,Business and Management,商業及管理,2
2023/24,Tung Wah College,東華學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Applied Gerontology - Year 3 entry,應用老年學(榮譽)理學士 - 三年級入學,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Tung Wah College,東華學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Biomedical Science - Year 3 entry,生物醫學(榮譽)理學士 - 三年級入學,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Tung Wah College,東華學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Forensic Biomedical Science - Year 3 entry,法證生物醫學(榮譽)理學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Tung Wah College,東華學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Science (Honours) in Applied Psychology - Year 3 entry,應用心理學(榮譽)社會科學學士 - 三年級入學,Social Sciences,社會科學,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Degree,學士學位,Bachelor's Degree,學士學位課程,"Bachelor of Arts (Honours) in Chinese Language, Literature and Communication",中國語言文學及傳意（榮譽）文學士,Languages and Related Studies,語言及相關科目,4
2023/24,UOW College Hong Kong,香港伍倫貢學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Japanese Studies,日本研究 (榮譽) 文學士,Languages and Related Studies,語言及相關科目,4
2023/24,UOW College Hong Kong,香港伍倫貢學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Aviation (Honours) in Operations and Management,營運及管理 (榮譽) 航空學士,Business and Management,商業及管理,4
2023/24,UOW College Hong Kong,香港伍倫貢學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Banking and Financial Technology (Honours),銀行及金融科技學士(榮譽),Business and Management,商業及管理,4
2023/24,UOW College Hong Kong,香港伍倫貢學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Maritime Services and Operations Management (Honours),航運服務及營運管理學士(榮譽),Business and Management,商業及管理,4
2023/24,UOW College Hong Kong,香港伍倫貢學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Marketing and Supply Chain Management (Honours),市場及供應鏈管理學士(榮譽),Business and Management,商業及管理,4
2023/24,UOW College Hong Kong,香港伍倫貢學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Artificial Intelligence,人工智能(榮譽)理學士,Computer Science and Information Technology,電腦科學及資訊科技,4
2023/24,UOW College Hong Kong,香港伍倫貢學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Smart-City Technology and Urban Informatics,智慧城市科技與城市信息學(榮譽)理學學士,Engineering and Technology,工程及科技,4
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts in Applied Chinese Studies,文學副學士(應用中文),Languages and Related Studies,語言及相關科目,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts in Bilingual Communication Studies (Japanese and Chinese),文學副學士(雙語傳意)(日語及中文),Languages and Related Studies,語言及相關科目,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts in Bilingual Communication Studies (Korean and Chinese),文學副學士(雙語傳意)(韓語及中文),Languages and Related Studies,語言及相關科目,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts in Digital Visual Design,文學副學士(數碼視覺設計),"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts in English for Professional Communication,文學副學士(專業英語傳意),Languages and Related Studies,語言及相關科目,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Business Administration in Accountancy,工商管理副學士(會計學),Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Business Administration in Financial Services,工商管理副學士(金融服務),Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Business Administration in General Management,工商管理副學士(工商管理),Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Business Administration in Global Logistics and Supply Chain Management,工商管理副學士(環球物流及供應鏈管理),Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Business Administration in Human Resources Management,工商管理副學士(人力資源管理),Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Business Administration in Marketing,工商管理副學士(市場學),Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Engineering,工程學副學士,Engineering and Technology,工程及科技,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Science in Airport Operations and Aviation Logistics,理學副學士(機場營運及航空物流),Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Science in Creative and Interactive Media Production,理學副學士(媒體創作),"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Science in Information Systems Development,理學副學士(資訊系統),Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Science in Network and Systems Administration,理學副學士(網絡及系統管理),Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Social Science,社會科學副學士,Social Sciences,社會科學,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Social Science in Applied Psychology,社會科學副學士(應用心理學),Social Sciences,社會科學,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Social Science in Social Work,社會科學副學士(社會工作),Social Sciences,社會科學,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Application Systems Development,應用系統開發高級文憑,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Computer Network and Systems Administration,電腦網絡及系統管理高級文憑,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Creative Media Production,創意媒體製作高級文憑,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,"Bachelor of Arts (Honours) in Chinese Language, Literature and Communication - Year 3 Entry",中國語言文學及傳意（榮譽）文學士 - 三年級入學,Languages and Related Studies,語言及相關科目,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Japanese Studies - Year 3 Entry,日本研究 (榮譽) 文學士 - 三年級入學,Languages and Related Studies,語言及相關科目,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Aviation (Honours) in Operations and Management - Year 3 Entry,營運及管理 (榮譽) 航空學士 - 三年級入學,Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Banking and Financial Technology (Honours) - Year 3 Entry,銀行及金融科技學士(榮譽) - 三年級入學,Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) in Finance - Year 3 Entry,金融學 (榮譽) 工商管理學士 - 三年級入學,Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Communication and Media,Bachelor of Communication and Media,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,1
2023/24,UOW College Hong Kong,香港伍倫貢學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Computer Science,Bachelor of Computer Science,Computer Science and Information Technology,電腦科學及資訊科技,1
2023/24,UOW College Hong Kong,香港伍倫貢學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Maritime Services and Operations Management (Honours) - Year 3 Entry,航運服務及營運管理學士(榮譽) - 三年級入學,Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Marketing and Supply Chain Management (Honours) - Year 3 Entry,市場及供應鏈管理學士(榮譽) - 三年級入學,Business and Management,商業及管理,2
2023/24,UOW College Hong Kong,香港伍倫貢學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Artificial Intelligence - Year 3 Entry,人工智能(榮譽)理學士 - 三年級入學,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,Vocational Training Council - Hong Kong Institute of Vocational Education (IVE) / Hong Kong Design Institute (HKDI) / Hong Kong Institute of Information Technology (HKIIT),職業訓練局 - 香港專業教育學院 / 香港知專設計學院 / 香港資訊科技學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Social Work,社會工作高級文憑,Social Sciences,社會科學,2
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Architecture,BA (Hons) Architecture,Architecture and Town Planning,建築及城市規劃,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Business and Human Resource Management,BA (Hons) Business and Human Resource Management,Business and Management,商業及管理,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Business and International Management,BA (Hons) Business and International Management,Business and Management,商業及管理,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Business Management,BA (Hons) Business Management,Business and Management,商業及管理,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,"BA (Hons) Design for Event, Exhibition and Performance","BA (Hons) Design for Event, Exhibition and Performance","Arts, Design and Performing Arts",藝術、設計、表演藝術,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Early Childhood,BA (Hons) Early Childhood,Education,教育,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Fashion Design,BA (Hons) Fashion Design,"Arts, Design and Performing Arts",藝術、設計、表演藝術,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Fine Art,BA (Hons) Fine Art,"Arts, Design and Performing Arts",藝術、設計、表演藝術,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Graphic Design,BA (Hons) Graphic Design,"Arts, Design and Performing Arts",藝術、設計、表演藝術,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Illustration,BA (Hons) Illustration,"Arts, Design and Performing Arts",藝術、設計、表演藝術,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Interior Architecture and Design,BA (Hons) Interior Architecture and Design,"Arts, Design and Performing Arts",藝術、設計、表演藝術,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) International Banking and Finance,BA (Hons) International Banking and Finance,Business and Management,商業及管理,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) International Fashion Business,BA (Hons) International Fashion Business,"Arts, Design and Performing Arts",藝術、設計、表演藝術,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) International Hospitality and Tourism Management,BA (Hons) International Hospitality and Tourism Management,Services,服務,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) International Marketing,BA (Hons) International Marketing,Business and Management,商業及管理,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,"BA (Hons) Jewellery, Materials and Design","BA (Hons) Jewellery, Materials and Design","Arts, Design and Performing Arts",藝術、設計、表演藝術,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Media,BA (Hons) Media,"Arts, Design and Performing Arts",藝術、設計、表演藝術,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Product Design,BA (Hons) Product Design,"Arts, Design and Performing Arts",藝術、設計、表演藝術,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Applied Science (Aviation),Bachelor of Applied Science (Aviation),Engineering and Technology,工程及科技,2.5
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Applied Science (Construction Management) (Honours),Bachelor of Applied Science (Construction Management) (Honours),Architecture and Town Planning,建築及城市規劃,2
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Engineering (Civil and Infrastructure) (Honours),Bachelor of Engineering (Civil and Infrastructure) (Honours),Engineering and Technology,工程及科技,2
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Engineering (Electrical Engineering) (Honours),Bachelor of Engineering (Electrical Engineering) (Honours),Engineering and Technology,工程及科技,2
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Engineering (Mechanical Engineering) (Honours),Bachelor of Engineering (Mechanical Engineering) (Honours),Engineering and Technology,工程及科技,2
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BEng (Hons) Building Services Engineering,BEng (Hons) Building Services Engineering,Engineering and Technology,工程及科技,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Architectural Studies,BSc (Hons) Architectural Studies,Architecture and Town Planning,建築及城市規劃,2
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Architectural Technology and Design,BSc (Hons) Architectural Technology and Design,Architecture and Town Planning,建築及城市規劃,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Computing,BSc (Hons) Computing,Computer Science and Information Technology,電腦科學及資訊科技,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Digital Media,BSc (Hons) Digital Media,Computer Science and Information Technology,電腦科學及資訊科技,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Environmental Science,BSc (Hons) Environmental Science,Engineering and Technology,工程及科技,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Ethical Hacking and Cybersecurity,BSc (Hons) Ethical Hacking and Cybersecurity,Computer Science and Information Technology,電腦科學及資訊科技,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Events and Leisure Management,BSc (Hons) Events and Leisure Management,Services,服務,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Food Science and Nutrition,BSc (Hons) Food Science and Nutrition,Sciences,理學科,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Health and Exercise Science,BSc (Hons) Health and Exercise Science,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Health and Social Care,BSc (Hons) Health and Social Care,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Human Biosciences,BSc (Hons) Human Biosciences,Sciences,理學科,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Information Technology,BSc (Hons) Information Technology,Computer Science and Information Technology,電腦科學及資訊科技,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) International Hospitality Business Management,BSc (Hons) International Hospitality Business Management,Services,服務,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) International Tourism Management,BSc (Hons) International Tourism Management,Services,服務,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Sport Business Management,BSc (Hons) Sport Business Management,Services,服務,1
2023/24,Vocational Training Council - School for Higher and Professional Education (SHAPE),職業訓練局 - 才晉高等教育學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BSc (Hons) Sport Coaching,BSc (Hons) Sport Coaching,Services,服務,1
2023/24,Vocational Training Council - Technological and Higher Education Institute of Hong Kong (THEi),職業訓練局 - 香港高等教育科技學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Culinary Arts and Management,廚藝及管理（榮譽）文學士,Services,服務,4
2023/24,Vocational Training Council - Technological and Higher Education Institute of Hong Kong (THEi),職業訓練局 - 香港高等教育科技學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Fashion Design,時裝設計（榮譽）文學士,"Arts, Design and Performing Arts",藝術、設計、表演藝術,4
2023/24,Vocational Training Council - Technological and Higher Education Institute of Hong Kong (THEi),職業訓練局 - 香港高等教育科技學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Hotel Operations Management,酒店營運管理（榮譽）文學士,Services,服務,4
2023/24,Vocational Training Council - Technological and Higher Education Institute of Hong Kong (THEi),職業訓練局 - 香港高等教育科技學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Hotel Operations Management [Medium of Instruction: Chinese (Putonghua)],酒店營運管理（榮譽）文學士 [教學語言: 普通話],Services,服務,4
2023/24,Vocational Training Council - Technological and Higher Education Institute of Hong Kong (THEi),職業訓練局 - 香港高等教育科技學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Landscape Architecture,園境建築（榮譽）文學士,Architecture and Town Planning,建築及城市規劃,4
2023/24,Vocational Training Council - Technological and Higher Education Institute of Hong Kong (THEi),職業訓練局 - 香港高等教育科技學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Product Design,產品設計（榮譽）文學士,"Arts, Design and Performing Arts",藝術、設計、表演藝術,4
2023/24,Vocational Training Council - Technological and Higher Education Institute of Hong Kong (THEi),職業訓練局 - 香港高等教育科技學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Public Relations and International Events Management [Medium of Instruction: Chinese (Putonghua)],公共關係及國際項目管理（榮譽）文學士 [教學語言: 普通話],"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,4
