Academic Year,Institution (English),Institution (Chinese),Level of study (English),Level of study (Chinese),Programme type (English),Programme type (Chinese),Programme name (English),Programme name (Chinese),Areas of Study,Areas of Study (Chinese),Normal programme duration
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Sport and Recreation Management,體育及康樂管理高級文憑,Services,服務,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Sport Coaching and Sport Performance,運動教練學及運動表現高級文憑,Services,服務,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Surveying and Property Management,測量及物業管理高級文憑,Architecture and Town Planning,建築及城市規劃,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Tourism and Events Management,旅遊、會展及節目管理高級文憑,Services,服務,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Tourism and Hospitality Management,旅遊及酒店管理高級文憑,Services,服務,2
2023/24,Hong Kong Adventist College,香港三育書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Enrolled Nursing (General),登記護士（普通科）高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Hong Kong Adventist College,香港三育書院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Health and Rehabilitation Services,健康與復康服務高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Hong Kong Art School (a division of Hong Kong Arts Centre),香港藝術學院 (香港藝術中心附屬機構),Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Fine Art),藝術文學士,"Arts, Design and Performing Arts",藝術、設計、表演藝術,3
2023/24,Hong Kong Art School (a division of Hong Kong Arts Centre),香港藝術學院 (香港藝術中心附屬機構),Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Fine Art,藝術高級文憑,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Hong Kong Art School (a division of Hong Kong Arts Centre),香港藝術學院 (香港藝術中心附屬機構),Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Fine Art) - Year 2 Entry,藝術文學士 - 二年級,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸會大學電影學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Creative Film Production (Acting Techniques Specialization),創意電影製作高級文憑 (專業範圍：表演技巧),"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸會大學電影學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Creative Film Production (Art Direction Specialization),創意電影製作高級文憑（專業範圍︰美術指導）,"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸會大學電影學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Creative Film Production (Cinematography and Lighting Specialization),創意電影製作高級文憑 (專業範圍：電影攝影與燈光),"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸會大學電影學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Creative Film Production (Directing Specialization),創意電影製作高級文憑 (專業範圍﹕導演),"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
