学年,院校(英文),院校(中文),学科级别(英文),学科级别(中文),课程类别(英文),课程类别(中文),课程名称(英文),课程名称(中文),学习范畴(英文),学习范畴(中文),一般修业期
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Business Management - Human Resource Management,商业管理学高级文凭 - 人力资源管理学,Business and Management,商业及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Business Management - Management and e-Commerce,商业管理学高级文凭 - 管理及电子商务学,Business and Management,商业及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Business Management - Management and Psychology,商业管理学高级文凭 - 管理及心理学,Business and Management,商业及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Business Management - Management Studies,商业管理学高级文凭 - 管理学,Business and Management,商业及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Business Management - Management with Business Law,商业管理学高级文凭 - 管理及商业法律学,Business and Management,商业及管理,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Food Health and Business Management,食品健康及商业管理学高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Health and Social Care,社康照顾高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Hotel Management,酒店管理高级文凭,Services,服务,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Medical and Health Products Management,医疗及保健产品管理高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Nutrition and Food Management - Food and Nutritional Sciences,营养及食品管理高级文凭 - 食物及营养科学,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
