序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
192,3633,中裕能源,4.88,-0.01,-0.2,4.92,4.98,4.81,4.89,795000,3889010.0
193,1378,中国宏桥,9.75,-0.02,-0.2,9.6,9.9,9.55,9.77,47584889,462123744.0
194,4,九龙仓集团,24.25,-0.05,-0.21,24.2,24.35,23.75,24.3,735742,17758844.0
195,1193,华润燃气,23.65,-0.05,-0.21,23.6,23.9,22.9,23.7,4398323,103670838.0
196,2145,上美股份,47.0,-0.1,-0.21,46.95,47.65,46.55,47.1,444600,21021970.0
197,6600,赛生药业,18.0,-0.04,-0.22,18.1,18.1,17.96,18.04,3376399,60747022.0
198,728,中国电信,4.44,-0.01,-0.22,4.44,4.49,4.39,4.45,35283597,156933058.0
199,390,中国中铁,4.12,-0.01,-0.24,4.1,4.19,4.07,4.13,19903577,81825046.0
200,6186,中国飞鹤,4.11,-0.01,-0.24,4.11,4.15,3.99,4.12,17744403,72220538.0
201,1052,越秀交通基建,3.83,-0.01,-0.26,3.83,3.9,3.76,3.84,4990000,19216340.0
202,6616,环球新材国际,3.81,-0.01,-0.26,3.82,3.83,3.73,3.82,4292000,16280650.0
203,1258,中国有色矿业,6.81,-0.02,-0.29,6.92,7.11,6.68,6.83,20167500,138715229.0
204,3968,招商银行,32.55,-0.1,-0.31,32.55,32.75,32.1,32.65,22871485,742811424.0
205,956,新天绿色能源,3.21,-0.01,-0.31,3.2,3.25,3.16,3.22,7284000,23259680.0
206,1065,天津创业环保股份,3.13,-0.01,-0.32,3.12,3.16,3.11,3.14,286000,898500.0
207,6099,招商证券,6.0,-0.02,-0.33,6.06,6.06,5.93,6.02,561000,3359686.0
208,3958,东方证券,2.92,-0.01,-0.34,2.9,2.93,2.9,2.93,1633600,4761448.0
209,303,VTECH HOLDINGS,43.2,-0.15,-0.35,43.95,43.95,42.8,43.35,317265,13661831.0
210,2338,潍柴动力,17.14,-0.06,-0.35,17.2,17.26,16.88,17.2,4911967,84093118.0
211,916,龙源电力,5.7,-0.02,-0.35,5.72,5.78,5.67,5.72,18029717,103134867.0
212,288,万洲国际,5.39,-0.02,-0.37,5.38,5.45,5.34,5.41,17657260,95123095.0
213,2186,绿叶制药,2.61,-0.01,-0.38,2.6,2.63,2.55,2.62,16753000,43388110.0
214,2611,国泰君安,7.81,-0.03,-0.38,7.84,7.86,7.77,7.84,685000,5343296.0
215,13,和黄医药,26.0,-0.1,-0.38,25.8,26.25,25.05,26.1,2699047,69465385.0
216,6178,光大证券,5.11,-0.02,-0.39,5.07,5.2,5.06,5.13,583400,2969420.0
217,1883,中信国际电讯,2.53,-0.01,-0.39,2.53,2.55,2.52,2.54,2847000,7203920.0
218,576,浙江沪杭甬,5.06,-0.02,-0.39,5.07,5.12,5.03,5.08,6816585,34618715.0
219,144,招商局港口,10.02,-0.04,-0.4,10.02,10.08,9.96,10.06,3845475,38556823.0
220,1686,新意网集团,2.42,-0.01,-0.41,2.41,2.45,2.39,2.43,188124,454666.0
221,1066,威高股份,4.76,-0.02,-0.42,4.77,4.81,4.7,4.78,8775411,41645529.0
222,2367,巨子生物,47.1,-0.2,-0.42,47.5,47.55,46.6,47.3,3777251,178212491.0
223,6818,中国光大银行,2.3,-0.01,-0.43,2.31,2.33,2.28,2.31,9047258,20834530.0
224,1811,中广核新能源,2.3,-0.01,-0.43,2.31,2.31,2.24,2.31,6064000,13789216.0
225,3311,中国建筑国际,8.67,-0.04,-0.46,8.66,8.74,8.58,8.71,3566000,30892060.0
226,1958,北京汽车,2.14,-0.01,-0.47,2.16,2.16,2.12,2.15,5686500,12159075.0
227,656,复星国际,4.25,-0.02,-0.47,4.24,4.28,4.16,4.27,3672297,15462732.0
228,327,百富环球,6.32,-0.03,-0.47,6.35,6.35,6.28,6.35,501000,3157275.0
229,2,中电控股,59.7,-0.3,-0.5,59.9,60.05,59.25,60.0,1590931,94913984.0
230,314,思派健康,5.95,-0.03,-0.5,5.86,6.06,5.68,5.98,816200,4803640.0
231,1208,五矿资源,3.91,-0.02,-0.51,3.97,4.16,3.81,3.93,44996204,179490119.0
232,2196,复星医药,11.44,-0.06,-0.52,11.5,11.54,11.32,11.5,3422970,39106470.0
233,3,香港中华煤气,5.66,-0.03,-0.53,5.63,5.69,5.58,5.69,13586391,76546084.0
234,317,中船防务,11.3,-0.06,-0.53,11.4,11.58,11.2,11.36,1338600,15272448.0
235,1072,东方电气,10.88,-0.06,-0.55,10.98,11.2,10.62,10.94,7250298,78811046.0
236,440,大新金融,19.94,-0.11,-0.55,19.84,20.05,19.7,20.05,212000,4215190.0
237,1196,伟禄集团,5.33,-0.03,-0.56,5.34,5.37,5.31,5.36,1578000,8403620.0
238,2158,医渡科技,3.38,-0.02,-0.59,3.39,3.39,3.28,3.4,3542000,11803099.0
239,1458,周黑鸭,1.69,-0.01,-0.59,1.7,1.7,1.65,1.7,6211500,10388799.0
240,2600,中国铝业,5.05,-0.03,-0.59,5.05,5.17,4.99,5.08,17345066,87735064.0
241,1610,中粮家佳康,1.66,-0.01,-0.6,1.66,1.68,1.64,1.67,11595000,19138200.0
242,425,敏实集团,13.0,-0.08,-0.61,13.02,13.32,12.88,13.08,4671800,60936488.0
243,1798,大唐新能源,1.62,-0.01,-0.61,1.62,1.64,1.6,1.63,28937100,46825646.0
244,83,信和置业,7.83,-0.05,-0.63,7.88,7.91,7.79,7.88,4464063,34968421.0
245,66,港铁公司,23.45,-0.15,-0.64,23.6,23.6,23.25,23.6,3408132,79823044.0
246,81,中国海外宏洋集团,1.56,-0.01,-0.64,1.56,1.59,1.55,1.57,4944000,7715860.0
247,2285,泉峰控股,18.08,-0.12,-0.66,17.88,18.32,17.7,18.2,417800,7493014.0
248,3339,中国龙工,1.5,-0.01,-0.66,1.53,1.53,1.49,1.51,6555000,9831571.0
249,2628,中国人寿,9.0,-0.06,-0.66,8.96,9.09,8.91,9.06,25173524,226461855.0
250,12,恒基地产,22.15,-0.15,-0.67,22.3,22.3,21.65,22.3,1961743,43149455.0
251,666,瑞浦兰钧,14.56,-0.1,-0.68,14.38,14.98,14.38,14.66,17000,249076.0
252,9633,农夫山泉,42.7,-0.3,-0.7,42.15,43.0,42.15,43.0,4161609,177271200.0
253,1988,民生银行,2.78,-0.02,-0.71,2.79,2.81,2.77,2.8,12646494,35218688.0
254,6066,中信建投证券,5.55,-0.04,-0.72,5.58,5.6,5.49,5.59,3563319,19753374.0
255,868,信义玻璃,7.82,-0.06,-0.76,7.81,7.94,7.72,7.88,10487121,82064522.0
256,2096,先声药业,5.15,-0.04,-0.77,5.13,5.17,5.09,5.19,5454000,28024425.0
257,6881,中国银河,3.84,-0.03,-0.78,3.87,3.88,3.8,3.87,13651781,52227410.0
