股票代码,股票简称,关注,最新价
SZ300280,紫天科技,3881,29.48
SZ300458,全志科技,3863,18.87
SH600105,永鼎股份,3861,4.24
SH600699,均胜电子,3859,17.08
SZ002038,双鹭药业,3854,7.99
SZ002892,科力尔,3838,13.04
SH600025,华能水电,3814,9.73
SH601238,广汽集团,3812,8.51
SH603668,天马科技,3812,13.23
SZ002603,以岭药业,3810,19.27
SZ002564,*ST天沃,3808,3.82
SH600685,中船防务,3805,25.16
SZ300576,容大感光,3804,35.21
SH603027,千禾味业,3802,16.48
SH688525,佰维存储,3791,46.72
SZ300024,机器人,3780,10.54
SH688063,派能科技,3740,72.65
SZ300342,天银机电,3737,12.78
SZ300033,同花顺,3734,112.66
SH600188,兖矿能源,3719,23.27
SH600031,三一重工,3710,15.4
SH603896,寿仙谷,3705,25.2
SH600078,ST澄星,3696,7.6
SH601456,国联证券,3684,10.6
SH601628,中国人寿,3674,28.88
SZ300188,国投智能,3670,12.97
SH688012,中微公司,3646,135.81
SH601985,中国核电,3643,9.38
SH601186,中国铁建,3631,8.57
SH600584,长电科技,3626,24.11
SZ300496,中科创达,3610,45.55
SH603003,龙宇股份,3602,8.92
SZ002235,安妮股份,3590,4.91
SZ000802,北京文化,3586,5.76
SZ300136,信维通信,3564,18.0
SZ300601,康泰生物,3563,19.65
SH601595,上海电影,3562,28.99
SZ002157,*ST正邦,3535,2.86
SH688599,天合光能,3525,20.14
SZ002952,亚世光电,3524,23.25
SZ002352,顺丰控股,3524,35.11
SH601601,中国太保,3521,24.71
SH688185,康希诺,3505,47.91
SZ002640,跨境通,3504,2.22
SH600547,山东黄金,3504,29.26
SZ300684,中石科技,3502,14.26
SZ002100,天康生物,3493,6.72
SH600155,华创云信,3480,6.87
SH600690,海尔智家,3474,27.98
SH600011,华能国际,3461,9.68
SZ300169,天晟新材,3453,4.67
SH603030,*ST全筑,3444,1.95
SH600315,上海家化,3436,20.08
SH601555,东吴证券,3429,6.29
SZ300552,万集科技,3427,23.57
SH603477,巨星农牧,3426,34.15
SZ000676,智度股份,3408,6.25
SZ000572,海马汽车,3408,3.55
SH600570,恒生电子,3404,20.69
SH688047,龙芯中科,3402,80.43
SH600016,民生银行,3399,3.97
SZ002362,汉王科技,3399,18.35
SZ002995,天地在线,3397,14.78
SZ301308,江波龙,3394,98.1
SH600482,中国动力,3387,20.71
SH600355,精伦电子,3385,3.25
SH600872,中炬高新,3378,29.16
SH600737,中粮糖业,3375,10.29
SZ002223,鱼跃医疗,3360,36.74
SZ002920,德赛西威,3340,117.23
SH600636,国新文化,3340,9.57
SZ000821,京山轻机,3340,13.38
SZ301293,三博脑科,3329,59.8
SH601328,交通银行,3327,6.93
SZ000999,华润三九,3323,58.75
SZ002051,中工国际,3319,7.51
SH601020,华钰矿业,3314,9.06
SH603127,昭衍新药,3304,17.13
SH688111,金山办公,3300,299.0
SH600129,太极集团,3291,32.09
SZ002642,荣联科技,3289,5.76
SZ300763,锦浪科技,3282,52.9
SZ002728,特一药业,3281,9.5
SH600298,安琪酵母,3279,28.5
SZ002433,*ST太安,3272,0.6
SZ002929,润建股份,3269,34.67
SZ002310,东方园林,3268,1.02
SZ001314,亿道信息,3266,39.19
SH605117,德业股份,3265,85.31
SH603605,珀莱雅,3264,111.0
SZ300709,精研科技,3244,29.32
SH600958,东方证券,3230,7.98
SZ002777,久远银海,3227,18.26
SZ300494,盛天网络,3222,12.78
SH600055,万东医疗,3219,15.06
SZ002528,英飞拓,3219,5.7
SH601066,中信建投,3217,21.39
SH603106,恒银科技,3214,4.88
SZ000525,ST红太阳,3212,7.75
SH600160,巨化股份,3207,21.86
SZ002457,青龙管业,3205,8.05
SZ002432,九安医疗,3193,41.29
SH603123,翠微股份,3164,7.29
SZ002590,万安科技,3160,16.94
SZ002174,游族网络,3157,9.11
SZ300366,创意信息,3154,8.47
SH600250,南京商旅,3154,7.87
SZ301183,东田微,3136,39.41
SZ301221,光庭信息,3130,36.81
SZ002558,巨人网络,3130,11.0
SZ300724,捷佳伟创,3128,59.81
SH600633,浙数文化,3102,10.15
SZ300782,卓胜微,3099,86.14
SZ300450,先导智能,3098,22.62
SZ002192,融捷股份,3096,33.21
SZ002962,五方光电,3080,13.24
SZ002405,四维图新,3058,6.71
SH603160,汇顶科技,3054,55.9
SZ002173,创新医疗,3053,8.16
SH600109,国金证券,3047,8.41
SH600096,云天化,3046,20.08
SH603606,东方电缆,3045,39.3
SZ000564,ST大集,3035,1.75
SH600859,王府井,3029,12.84
SH600428,中远海特,3026,6.23
SH600272,开开实业,3025,9.62
SH603721,中广天择,3011,28.09
SH688343,云天励飞-U,3011,28.8
SH601699,潞安环能,3005,20.6
SH688700,东威科技,3001,32.24
SH600779,水井坊,2993,45.2
SZ002761,浙江建投,2989,7.97
SH601336,新华保险,2988,30.3
SZ300017,网宿科技,2981,9.29
SZ002906,华阳集团,2963,29.17
SZ002252,上海莱士,2959,7.06
SZ002468,申通快递,2954,8.3
SZ000546,金圆股份,2951,4.55
SZ002941,新疆交建,2949,11.4
SZ000776,广发证券,2925,12.88
SH600536,中国软件,2924,28.76
SH603196,日播时尚,2919,9.55
SZ301488,豪恩汽电,2918,55.19
SZ300293,蓝英装备,2915,12.55
SH600559,老白干酒,2910,19.45
SH600161,天坛生物,2909,28.51
SH688327,云从科技-UW,2907,11.55
SZ000610,西安旅游,2901,13.17
SH688223,晶科能源,2899,7.49
SH603322,超讯通信,2899,29.31
SZ003032,传智教育,2897,10.08
SZ300207,欣旺达,2893,13.3
SH600132,重庆啤酒,2889,64.34
SH600867,通化东宝,2885,9.95
SZ002395,双象股份,2876,15.04
SH600837,海通证券,2873,8.14
SZ300081,恒信东方,2872,6.2
SH603729,龙韵股份,2871,18.56
SH600185,格力地产,2862,5.39
SH603486,科沃斯,2860,41.33
SH600310,广西能源,2859,3.17
SH605588,冠石科技,2858,37.79
SZ300322,硕贝德,2832,8.75
SH601600,中国铝业,2832,7.04
SZ301315,威士顿,2826,46.12
SH601658,邮储银行,2824,4.82
SZ002409,雅克科技,2818,59.51
SH600026,中远海能,2812,16.01
SZ300765,新诺威,2809,38.62
SH603728,鸣志电器,2807,56.68
SH600546,山煤国际,2802,14.19
SZ002517,恺英网络,2797,10.97
SZ000911,广农糖业,2793,7.26
SZ000837,秦川机床,2785,8.69
SZ002355,兴民智通,2783,4.11
SZ002518,科士达,2771,21.28
SZ300757,罗博特科,2759,115.01
SZ000004,国华网安,2756,10.66
SZ002487,大金重工,2741,18.99
SZ002535,林州重机,2739,3.89
SH600683,京投发展,2734,3.83
SH601800,中国交建,2733,9.07
SH600977,中国电影,2731,11.77
SZ301509,金凯生科,2722,52.27
SH600079,人福医药,2721,20.23
SZ002336,*ST人乐,2709,6.21
SZ300288,朗玛信息,2700,12.36
SH600446,金证股份,2699,11.52
SZ300118,东方日升,2694,13.25
SZ000826,启迪环境,2691,1.98
SZ000065,北方国际,2688,12.34
SZ300291,百纳千成,2687,4.8
SH600489,中金黄金,2678,12.8
SZ300042,朗科科技,2669,24.43
SZ301169,零点有数,2663,33.46
SZ002127,南极电商,2662,2.89
SZ300913,兆龙互连,2661,35.35
SZ000056,皇庭国际,2654,2.13
SZ002343,慈文传媒,2653,8.45
SH603779,威龙股份,2653,8.82
SZ301299,卓创资讯,2649,39.81
SZ300769,德方纳米,2649,30.25
SZ002291,遥望科技,2642,5.37
SH600926,杭州银行,2638,12.2
SZ003015,日久光电,2635,9.72
SZ002737,葵花药业,2623,27.0
SZ000034,神州数码,2621,28.75
SZ301218,华是科技,2618,22.81
SZ000736,中交地产,2617,8.84
SH603258,电魂网络,2616,16.95
SZ300957,贝泰妮,2607,58.06
SZ002866,传艺科技,2605,13.84
SZ300740,水羊股份,2600,18.31
SZ002514,宝馨科技,2595,5.77
SH600369,西南证券,2590,3.76
SZ001324,长青科技,2587,19.53
SZ300027,华谊兄弟,2569,1.91
SZ301398,星源卓镁,2568,50.64
SH603444,吉比特,2564,172.58
SZ000983,山西焦煤,2558,10.39
SZ002837,英维克,2556,31.72
SH600822,上海物贸,2554,8.86
SZ002074,国轩高科,2553,17.71
SZ301289,国缆检测,2551,40.18
SH601975,招商南油,2544,3.84
SZ300413,芒果超媒,2541,22.27
SH603716,塞力医疗,2538,6.7
SZ002756,永兴材料,2537,44.69
SZ000408,藏格矿业,2535,27.99
SH603369,今世缘,2534,58.35
SZ301255,通力科技,2525,30.74
SZ300351,永贵电器,2525,18.08
SH601878,浙商证券,2523,9.96
SH601991,大唐发电,2521,3.0
SH603533,掌阅科技,2519,21.72
SZ300537,广信材料,2515,14.28
SZ300904,威力传动,2511,46.42
SZ000957,中通客车,2507,9.48
SH601696,中银证券,2506,9.85
SH603993,洛阳钼业,2505,8.8
SZ300302,同有科技,2503,10.41
SZ002709,天赐材料,2500,19.99
SH603888,新华网,2499,22.95
SZ300124,汇川技术,2497,59.29
SH601998,中信银行,2494,6.96
SZ002276,万马股份,2489,8.46
SZ300814,中富电路,2487,26.76
SH600239,云南城投,2485,1.94
SZ300378,鼎捷软件,2476,16.72
SH600088,中视传媒,2473,20.0
SZ000513,丽珠集团,2472,37.97
SH600141,兴发集团,2470,20.51
SZ300781,因赛集团,2458,52.62
SH600487,亨通光电,2456,13.38
SH688318,财富趋势,2455,103.77
SH600468,百利电气,2453,4.52
SH600019,宝钢股份,2452,7.07
SH600886,国投电力,2444,15.6
SH600159,大龙地产,2442,2.22
SH600678,四川金顶,2433,5.57
SZ301393,昊帆生物,2425,39.18
SZ000961,ST中南,2422,0.8
SH688271,联影医疗,2413,125.65
SH603517,绝味食品,2394,18.56
SH600686,金龙汽车,2392,8.58
SZ300063,天龙集团,2390,4.34
SZ300075,数字政通,2388,15.43
SZ002232,启明信息,2387,13.14
SZ000851,高鸿股份,2383,4.22
SZ002472,双环传动,2383,22.84
SH600111,北方稀土,2381,19.15
SH600133,东湖高新,2378,10.78
SH688363,华熙生物,2371,57.9
SH600667,太极实业,2371,6.16
SZ002407,多氟多,2358,13.08
SH601689,拓普集团,2356,57.57
SZ301281,科源制药,2355,25.06
SH688167,炬光科技,2355,70.51
SH600757,长江传媒,2355,7.47
SZ300676,华大基因,2351,39.02
SZ002992,宝明科技,2348,45.2
SZ002024,ST易购,2343,1.5
SZ300654,世纪天鸿,2340,10.09
SZ001337,四川黄金,2339,25.43
SZ000831,中国稀土,2332,28.06
SZ002945,华林证券,2320,11.16
SZ301007,德迈仕,2320,12.48
SZ002387,维信诺,2319,7.08
SH600663,陆家嘴,2317,8.1
SH600629,华建集团,2315,5.45
SZ300331,苏大维格,2312,16.64
SZ002045,国光电器,2311,12.55
SH603042,华脉科技,2309,9.94
SZ301510,固高科技,2308,32.53
SH600460,士兰微,2307,18.47
SH600760,中航沈飞,2296,38.14
SH688556,高测股份,2296,26.83
SZ002368,太极股份,2291,23.44
SH601065,江盐集团,2288,9.67
SZ002401,中远海科,2278,16.38
SH601021,春秋航空,2273,58.64
SH600719,大连热电,2271,6.89
SH600340,华夏幸福,2269,1.07
SZ000584,ST工智,2266,2.34
SZ002792,通宇通讯,2259,14.53
