序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
561,547,航天发展,6.84,2.4,0.16,193739.0,131860569.45,4.79,6.93,6.61,6.68,6.68,1.15,1.22,-15.36,1.32,10933522960.0,10864318761.0,-0.15,-0.15,-10.82,-18.28
562,2830,名雕股份,10.27,2.39,0.24,49173.0,50263234.0,6.68,10.5,9.83,10.41,10.03,1.88,7.36,68.7,2.08,1369401800.0,686575175.0,0.2,-0.77,-31.94,-31.03
563,603327,福蓉科技,15.86,2.39,0.37,385628.0,612643025.0,9.04,16.49,15.09,15.41,15.49,1.58,5.69,32.9,5.63,10748555301.0,10748555301.0,-0.25,0.57,31.84,18.98
564,2976,瑞玛精密,23.21,2.38,0.54,48291.0,112052823.5,5.12,23.58,22.42,22.96,22.67,0.98,7.46,54.19,3.4,2800337562.0,1502477881.0,0.04,-0.04,-21.88,-35.31
565,600610,中毅达,4.73,2.38,0.11,373314.0,175656308.0,6.28,4.81,4.52,4.79,4.62,1.64,8.32,-75.57,53.92,5067128882.0,2122477315.0,0.21,-0.21,-40.2,-49.63
566,506,中润资源,5.59,2.38,0.13,2413692.0,1272733202.58,15.02,5.73,4.91,5.05,5.46,1.34,25.99,52.63,7.19,5193209284.0,5191270672.0,0.0,-0.36,42.97,35.35
567,603416,信捷电气,27.59,2.37,0.64,21276.0,57754646.0,6.49,27.95,26.2,26.97,26.95,1.38,1.51,19.61,1.82,3878050400.0,3878050400.0,0.22,0.04,-17.81,-26.54
568,962,东方钽业,11.22,2.37,0.26,117357.0,130637466.0,5.02,11.32,10.77,10.96,10.96,0.73,2.66,30.29,2.37,5668661100.0,4946118569.0,0.0,0.09,-2.86,-9.44
569,688330,宏力达,23.34,2.37,0.54,8619.0,20104677.0,3.82,23.67,22.8,22.99,22.8,0.91,0.62,16.8,0.9,3267600000.0,3267600000.0,0.0,-0.09,-13.23,-17.85
570,2399,海普瑞,9.08,2.37,0.21,69339.0,62352945.6,3.61,9.09,8.77,8.85,8.87,0.87,0.56,-17.01,1.12,13323049532.0,11324591472.0,0.11,0.0,-11.41,-22.59
571,423,东阿阿胶,69.23,2.37,1.6,58308.0,402333418.16,2.51,69.61,67.91,68.4,67.63,1.03,0.91,38.74,4.16,44582515526.0,44582515526.0,0.12,0.07,33.93,40.37
572,605196,华通线缆,10.85,2.36,0.25,176983.0,194479247.0,7.36,11.27,10.49,10.6,10.6,1.0,5.43,14.37,2.0,5550043874.0,3535954544.0,0.09,-0.18,35.29,40.91
573,831627,力王股份,12.64,2.35,0.29,41529.0,52881852.96,9.31,13.17,12.02,12.32,12.35,0.97,15.49,43.18,2.69,1193848000.0,338988368.0,0.0,0.08,-19.75,3.18
574,301138,华研精机,25.74,2.35,0.59,60351.0,156580002.47,6.4,26.7,25.09,26.42,25.15,2.92,20.12,40.66,2.87,3088800000.0,772200000.0,-0.08,0.39,-5.05,-11.24
575,603565,中谷物流,9.6,2.35,0.22,163689.0,155763709.0,3.52,9.63,9.3,9.45,9.38,1.48,0.78,11.74,1.88,20160605789.0,20160605789.0,0.31,0.52,20.6,16.65
